source_vtd_geoid,source_vtd_code,source_vtd_name,source_vtd_area_m2,precinct_key,target_id,target_name,COUNTYFP20,prec_id,intersection_area_m2,source_blocks,area_weight,source_area_share_pct
16031031010,031010,burley 7 Voting District,3075447.654008391,16031031010,16067672703,MINIDOKA - 672703,067,672703,12037.97096794357,1,0.003914217480584934,0.3914217480584934
16031031011,031011,burley 8 Voting District,5617470.912355047,16031031011,16031312705,CASSIA - 312705,031,312705,234.2507847464882,3,4.1700400126910816e-05,0.0041700400126910816
16031031011,031011,burley 8 Voting District,5617470.912355047,16031031011,16031312706,CASSIA - 312706,031,312706,266698.81762531947,13,0.047476670869579934,4.7476670869579936
16031031011,031011,burley 8 Voting District,5617470.912355047,16031031011,16031312712,CASSIA - 312712,031,312712,4454246.775397335,23,0.7929274303140013,79.29274303140012
16031031011,031011,burley 8 Voting District,5617470.912355047,16031031011,16031312720,CASSIA - 312720,031,312720,167171.91228640132,1,0.029759284007812834,2.9759284007812834
16031031011,031011,burley 8 Voting District,5617470.912355047,16031031011,16031312723,CASSIA - 312723,031,312723,718510.669792507,4,0.12790643351836803,12.790643351836803
16031031011,031011,burley 8 Voting District,5617470.912355047,16031031011,16067672704,MINIDOKA - 672704,067,672704,10608.486469317311,1,0.0018884808902143208,0.18884808902143208
16031031012,031012,declo Voting District,127150406.35472654,16031031012,16031312707,CASSIA - 312707,031,312707,361933.9312819398,1,0.0028465023562111932,0.28465023562111935
16031031012,031012,declo Voting District,127150406.35472654,16031031012,16031312710,CASSIA - 312710,031,312710,124931089.0710305,113,0.9825457318830382,98.25457318830382
16031031012,031012,declo Voting District,127150406.35472654,16031031012,16031312713,CASSIA - 312713,031,312713,46239.77135609732,1,0.0003636620022046706,0.036366200220467056
16031031012,031012,declo Voting District,127150406.35472654,16031031012,16031312714,CASSIA - 312714,031,312714,1729419.4278315154,6,0.01360136768266984,1.360136768266984
16031031012,031012,declo Voting District,127150406.35472654,16031031012,16031312720,CASSIA - 312720,031,312720,1560.5494889883328,3,1.227325601016707e-05,0.001227325601016707
16031031012,031012,declo Voting District,127150406.35472654,16031031012,16031312724,CASSIA - 312724,031,312724,733.4289299637128,1,5.768199654176325e-06,0.0005768199654176325
16031031012,031012,declo Voting District,127150406.35472654,16031031012,16067672708,MINIDOKA - 672708,067,672708,79430.17480949392,3,0.0006246946202271518,0.06246946202271518
16031031013,031013,elba Voting District,669419120.2516649,16031031013,16031312707,CASSIA - 312707,031,312707,1002222.3693429233,6,0.0014971522907295247,0.14971522907295248
16031031013,031013,elba Voting District,669419120.2516649,16031031013,16031312708,CASSIA - 312708,031,312708,217670673.0575273,8,0.3251635133691656,32.51635133691656
16031031013,031013,elba Voting District,669419120.2516649,16031031013,16031312709,CASSIA - 312709,031,312709,18731554.197256975,1,0.027981803373370837,2.798180337337084
16031031013,031013,elba Voting District,669419120.2516649,16031031013,16031312711,CASSIA - 312711,031,312711,246390551.96139872,59,0.3680662002435326,36.80662002435326
16031031013,031013,elba Voting District,669419120.2516649,16031031013,16031312715,CASSIA - 312715,031,312715,35512984.17783029,12,0.0530504479233867,5.30504479233867
16031031013,031013,elba Voting District,669419120.2516649,16031031013,16031312716,CASSIA - 312716,031,312716,89333941.43919443,7,0.13344994001009378,13.344994001009377
16031031013,031013,elba Voting District,669419120.2516649,16031031013,16031312724,CASSIA - 312724,031,312724,60777193.04911813,5,0.09079094278972677,9.079094278972677
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16013132601,BLAINE - 132601,013,132601,42634.92232635473,2,4.9530044247085334e-05,0.0049530044247085335
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16031312707,CASSIA - 312707,031,312707,28713262.454895042,1,0.033356907489661664,3.3356907489661665
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16031312710,CASSIA - 312710,031,312710,9054138.733876236,4,0.010518417007433577,1.0518417007433576
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16031312711,CASSIA - 312711,031,312711,18599741.195438914,1,0.021607779588353044,2.1607779588353044
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16031312713,CASSIA - 312713,031,312713,754088537.955704,194,0.876043314099766,87.6043314099766
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16031312714,CASSIA - 312714,031,312714,19384116.242296983,11,0.02251900748926972,2.251900748926972
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16031312715,CASSIA - 312715,031,312715,30799101.203389015,7,0.03578007797685942,3.578007797685942
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16031312722,CASSIA - 312722,031,312722,3.040540989314054e-08,1,3.532271704004246e-17,3.5322717040042463e-15
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16077772801,POWER - 772801,077,772801,74842.53134054993,1,8.694642060060373e-05,0.008694642060060374
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16077772802,POWER - 772802,077,772802,25548.339687833308,6,2.968013839668093e-05,0.002968013839668093
16031031014,031014,heglar-yale Voting District,860789102.340922,16031031014,16077772804,POWER - 772804,077,772804,7178.761964465483,4,8.339745409116809e-06,0.0008339745409116809
16031031015,031015,jackson Voting District,168302105.8220653,16031031015,16013132601,BLAINE - 132601,013,132601,81685.68460586687,1,0.0004853515302549319,0.04853515302549319
